16297,title,Cards on the Table (Hercule Poirot  #15)
16297,authors,Agatha Christie
16297,average_rating,3.9
16297,isbn,0425205959
16297,isbn13,9780425205952
16297,language_code,eng
16297,# num_pages,324
16297,ratings_count,23561
16297,text_reviews_count,936
16298,title,A Murder Is Announced (Miss Marple  #5)
16298,authors,Agatha Christie
16298,average_rating,4.0
16298,isbn,1579126294
16298,isbn13,9781579126292
16298,language_code,eng
16298,# num_pages,288
16298,ratings_count,31050
16298,text_reviews_count,1097
16299,title,And Then There Were None
16299,authors,Agatha Christie
16299,average_rating,4.2
16299,isbn,0312330871
16299,isbn13,9780312330873
16299,language_code,eng
16299,# num_pages,264
16299,ratings_count,558832
16299,text_reviews_count,16793
16300,title,Sleeping Murder (Miss Marple #13)
16300,authors,Agatha Christie
16300,average_rating,3.9
16300,isbn,0002317850
16300,isbn13,9780002317856
16300,language_code,eng
16300,# num_pages,242
16300,ratings_count,18550
16300,text_reviews_count,811
16303,title,The Hollow (Hercule Poirot  #26)
16303,authors,Agatha Christie
16303,average_rating,3.8
16303,isbn,0007121024
16303,isbn13,9780007121021
16303,language_code,eng
16303,# num_pages,384
16303,ratings_count,13022
16303,text_reviews_count,606
16304,title,Murder on the Orient Express (Hercule Poirot  #10)
16304,authors,Agatha Christie
16304,average_rating,4.2
16304,isbn,0425200450
16304,isbn13,9780425200452
16304,language_code,eng
16304,# num_pages,322
16304,ratings_count,144452
16304,text_reviews_count,5688
16305,title,Evil Under the Sun (Hercule Poirot  #24)
16305,authors,Agatha Christie
16305,average_rating,4.0
16305,isbn,1579126286
16305,isbn13,9781579126285
16305,language_code,eng
16305,# num_pages,220
16305,ratings_count,34030
16305,text_reviews_count,884
16306,title,Miss Marple: The Complete Short Stories (Miss Marple #15)
16306,authors,Agatha Christie
16306,average_rating,4.2
16306,isbn,0006499627
16306,isbn13,9780006499626
16306,language_code,eng
16306,# num_pages,359
16306,ratings_count,6235
16306,text_reviews_count,257
16307,title,Hallowe'en Party (Hercule Poirot  #39)
16307,authors,Agatha Christie
16307,average_rating,3.7
16307,isbn,0007120680
16307,isbn13,9780007120680
16307,language_code,eng
16307,# num_pages,336
16307,ratings_count,18820
16307,text_reviews_count,1059
16308,title,Taken at the Flood (Hercule Poirot  #28)
16308,authors,Agatha Christie
16308,average_rating,3.7
16308,isbn,0007121016
16308,isbn13,9780007121014
16308,language_code,eng
16308,# num_pages,352
16308,ratings_count,8852
16308,text_reviews_count,457
16314,title,4.50 From Paddington (Miss Marple  #8)
16314,authors,Agatha Christie
16314,average_rating,4.0
16314,isbn,0007191014
16314,isbn13,9780007191017
16314,language_code,eng
16314,# num_pages,352
16314,ratings_count,41
16314,text_reviews_count,3
16315,title,Crooked House
16315,authors,Agatha Christie
16315,average_rating,4.0
16315,isbn,031298166X
16315,isbn13,9780312981662
16315,language_code,eng
16315,# num_pages,276
16315,ratings_count,22176
16315,text_reviews_count,1238
16316,title,The Big Four (Hercule Poirot  #5)
16316,authors,Agatha Christie
16316,average_rating,3.6
16316,isbn,0007120818
16316,isbn13,9780007120819
16316,language_code,eng
16316,# num_pages,272
16316,ratings_count,22155
16316,text_reviews_count,1244
16319,title,The Body in the Library (Miss Marple  #3)
16319,authors,Agatha Christie
16319,average_rating,3.8
16319,isbn,157912626X
16319,isbn13,9781579126261
16319,language_code,eng
16319,# num_pages,191
16319,ratings_count,43669
16319,text_reviews_count,1527
16320,title,Witness for the Prosecution and Selected Plays
16320,authors,Agatha Christie
16320,average_rating,4.0
16320,isbn,000649045X
16320,isbn13,9780006490456
16320,language_code,eng
16320,# num_pages,352
16320,ratings_count,3908
16320,text_reviews_count,67
16322,title,The A.B.C. Murders (Hercule Poirot  #13)
16322,authors,Agatha Christie
16322,average_rating,4.0
16322,isbn,1579126243
16322,isbn13,9781579126247
16322,language_code,eng
16322,# num_pages,252
16322,ratings_count,63488
16322,text_reviews_count,2163
16325,title,Partners in Crime (Tommy and Tuppence #2)
16325,authors,Agatha Christie
16325,average_rating,3.8
16325,isbn,0007111509
16325,isbn13,9780007111503
16325,language_code,eng
16325,# num_pages,347
16325,ratings_count,9506
16325,text_reviews_count,473
16326,title,Death in the Clouds (Hercule Poirot  #12)
16326,authors,Agatha Christie
16326,average_rating,3.8
16326,isbn,000711933X
16326,isbn13,9780007119332
16326,language_code,eng
16326,# num_pages,333
16326,ratings_count,21123
16326,text_reviews_count,773
16328,title,The Murder of Roger Ackroyd (Hercule Poirot  #4)
16328,authors,Agatha Christie
16328,average_rating,4.2
16328,isbn,1579126278
16328,isbn13,9781579126278
16328,language_code,eng
16328,# num_pages,288
16328,ratings_count,93453
16328,text_reviews_count,4962
16331,title,Murder at the Vicarage (Miss Marple #1)
16331,authors,Agatha Christie
16331,average_rating,4.0
16331,isbn,1579126251
16331,isbn13,9781579126254
16331,language_code,eng
16331,# num_pages,288
16331,ratings_count,113459
16331,text_reviews_count,1976
16332,title,Third Girl (Hercule Poirot  #38)
16332,authors,Agatha Christie
16332,average_rating,3.6
16332,isbn,0007121105
16332,isbn13,9780007121106
16332,language_code,eng
16332,# num_pages,365
16332,ratings_count,13705
16332,text_reviews_count,528
16333,title,At Bertram's Hotel (Miss Marple  #11)
16333,authors,Agatha Christie
16333,average_rating,3.7
16333,isbn,0002310015
16333,isbn13,9780002310017
16333,language_code,eng
16333,# num_pages,223
16333,ratings_count,16913
16333,text_reviews_count,647
16335,title,The Mystery of the Blue Train (Hercule Poirot  #6)
16335,authors,Agatha Christie
16335,average_rating,3.8
16335,isbn,1579126952
16335,isbn13,9781579126957
16335,language_code,eng
16335,# num_pages,317
16335,ratings_count,21431
16335,text_reviews_count,933
16336,title,The Unexpected Guest: A Play In Two Acts
16336,authors,Agatha Christie
16336,average_rating,3.8
16336,isbn,0573014671
16336,isbn13,9780573014673
16336,language_code,eng
16336,# num_pages,100
16336,ratings_count,2771
16336,text_reviews_count,165
16338,title,Why Didn't They Ask Evans?
16338,authors,Agatha Christie
16338,average_rating,3.8
16338,isbn,0753165716
16338,isbn13,9780753165713
16338,language_code,eng
16338,# num_pages,328
16338,ratings_count,12
16338,text_reviews_count,0
16339,title,The Sittaford Mystery
16339,authors,Agatha Christie
16339,average_rating,3.7
16339,isbn,0007136846
16339,isbn13,9780007136841
16339,language_code,eng
16339,# num_pages,400
16339,ratings_count,8329
16339,text_reviews_count,488
16340,title,After the Funeral
16340,authors,Agatha Christie
16340,average_rating,3.9
16340,isbn,0002310198
16340,isbn13,9780002310192
16340,language_code,eng
16340,# num_pages,251
16340,ratings_count,47
16340,text_reviews_count,4
16341,title,The Moving Finger (Miss Marple #4)
16341,authors,Agatha Christie
16341,average_rating,3.8
16341,isbn,0007120842
16341,isbn13,9780007120840
16341,language_code,eng
16341,# num_pages,299
16341,ratings_count,18561
16341,text_reviews_count,973
16342,title,Cat Among the Pigeons (Hercule Poirot  #34)
16342,authors,Agatha Christie
16342,average_rating,3.8
16342,isbn,0425205967
16342,isbn13,9780425205969
16342,language_code,eng
16342,# num_pages,352
16342,ratings_count,20134
16342,text_reviews_count,674
16343,title,The Mysterious Affair at Styles (Hercule Poirot  #1)
16343,authors,Agatha Christie
16343,average_rating,4.0
16343,isbn,0646418432
16343,isbn13,9780646418438
16343,language_code,eng
16343,# num_pages,121
16343,ratings_count,180757
16343,text_reviews_count,3440
16344,title,Dumb Witness (Hercule Poirot  #16)
16344,authors,Agatha Christie
16344,average_rating,3.8
16344,isbn,0007120796
16344,isbn13,9780007120796
16344,language_code,eng
16344,# num_pages,411
16344,ratings_count,13973
16344,text_reviews_count,634
16349,title,Hercule Poirot's Christmas (Hercule Poirot  #20)
16349,authors,Agatha Christie
16349,average_rating,3.9
16349,isbn,0007120699
16349,isbn13,9780007120697
