bookID,authors,average_rating,language_code,text_reviews_count
1,J.K. Rowling,4.56,eng,26249
2,J.K. Rowling,4.49,eng,27613
3,J.K. Rowling,4.47,eng,70390
4,J.K. Rowling,4.41,eng,272
5,J.K. Rowling,4.55,eng,33964
8,J.K. Rowling,4.78,eng,154
9,W. Frederick Zimmerman,3.69,en-US,1
10,J.K. Rowling,4.73,eng,820
12,Douglas Adams,4.38,eng,258
13,Douglas Adams,4.38,eng,3954
14,Douglas Adams,4.22,eng,408
16,Douglas Adams-Stephen Fry,4.22,eng,253
18,Douglas Adams,4.38,en-US,192
21,Bill Bryson-William Roberts,4.2,eng,8840
22,Bill Bryson,3.43,eng,470
23,Bill Bryson,3.88,eng,124
24,Bill Bryson,4.07,eng,4077
25,Bill Bryson,3.9,eng,2153
26,Bill Bryson,3.83,en-US,2146
27,Bill Bryson,3.87,eng,2127
28,Bill Bryson,3.92,eng,3159
29,Bill Bryson,3.94,eng,1986
30,J.R.R. Tolkien,4.59,eng,1536
31,J.R.R. Tolkien,4.49,eng,91
32,J.R.R. Tolkien,4.49,eng,139
34,J.R.R. Tolkien,4.35,eng,12784
35,J.R.R. Tolkien-Alan  Lee,4.49,en-US,139
36,Chris   Smith-Christopher  Lee-Richard Taylor,4.53,eng,43
37,Jude Fisher,4.5,eng,6
38,J.R.R. Tolkien,4.49,eng,19
40,James Hamilton-Paterson,3.61,eng,202
45,Dave Thomas-David Heinemeier Hansson-Leon Breedt-Mike Clark-Thomas  Fuchs-Andreas  Schwarz,3.89,eng,59
50,Gary Paulsen,3.7,eng,11346
51,Donna Ickes-Edward Sciranko-Keith Vasconcelles,3.97,eng,2
53,Gary Paulsen,3.87,eng,326
54,Molly Hatchet,4.33,eng,0
55,Dale Peck,3.48,en-US,16
57,Angela Knight-Sahara Kelly-Judy Mays-Marteeka Karland-Kate Douglas-Shelby Morgen-Lacey Savage-Kate Hill-Willa Okati,3.75,eng,4
58,Delia Sherman,3.6,eng,112
59,Patricia A. McKillip,4.07,eng,289
61,Zilpha Keatley Snyder,4.17,eng,92
63,Kate Horsley,3.56,eng,42
66,Philippa Carr,3.99,eng,12
67,Edward P. Jones,3.83,eng,2576
68,Edward P. Jones-Kevin R. Free,3.83,en-US,12
69,Edward P. Jones,3.83,eng,3
71,Satyajit Das,3.83,eng,78
72,Mark Smylie,4.16,eng,4
73,Edward P. Jones,3.83,eng,2
74,John McPhee-William Howarth,4.43,eng,36
75,John McPhee,3.95,en-US,192
76,John McPhee,4.15,eng,18
77,John McPhee,4.24,en-US,290
78,John McPhee,4.33,eng,211
79,John McPhee,4.22,eng,245
80,John McPhee,3.91,eng,52
81,John McPhee,4.22,eng,34
83,John McPhee,4.22,eng,91
85,Wendy Wasserstein,3.73,eng,69
86,Wendy Wasserstein,3.83,eng,63
89,Heidi Hayes Jacobs,3.94,eng,1
90,Heidi Boyd,3.75,en-US,4
91,Heidi Baker-Rolland Baker,4.45,eng,53
92,Heidi Hayes Jacobs,3.7,en-US,2
93,Johanna Spyri-Beverly Cleary-Angelo  Rinaldi,3.98,eng,2175
94,Heidi Hayes Jacobs,3.28,eng,5
96,Rolland Baker-Heidi Baker,4.45,eng,6
98,Heidi Murkoff-Sharon Mazel-Heidi Murkoff-Arlene Eisenberg-Sandee Hathaway-Mark D. Widome,3.88,eng,658
99,Heidi Fleiss-Libby Keatinge,3.82,eng,8
100,Heidi Boyd,3.75,en-US,4
103,Frank Herbert,3.83,eng,168
105,Frank Herbert,3.9,eng,552
106,Frank Herbert,3.87,eng,2306
107,Brian Herbert,4.0,en-US,21
109,Frank Herbert,3.85,eng,18
110,Frank Herbert-Brian Herbert-Kevin J. Anderson,3.87,eng,76
112,Frank Herbert,3.92,eng,1370
117,Frank Herbert,3.85,eng,616
122,Bryce Courtenay,4.35,eng,4445
123,Bryce Courtenay,4.35,eng,12
129,John C. Maxwell-Stephen R. Graves-Thomas G. Addington,4.28,en-US,1
130,Dave Lakhani,3.31,eng,16
131,Louis E. Catron,3.79,eng,0
132,Adam Ginsberg,3.49,eng,9
133,Marsha Collier,3.5,eng,9
135,Chris Malta-Lisa Suttora,3.62,eng,0
137,Marsha Collier,3.52,eng,4
138,Julia Wilkinson,4.27,eng,0
139,Marsha Collier,3.55,en-US,1
140,Marsha Collier,3.89,en-US,3
141,Lucas Carlson-Leonard Richardson,3.82,eng,4
142,Ruby Ann Boxcar,4.09,eng,5
144,Ruby Ann Boxcar,4.08,eng,2
147,Rob Orsini,3.65,eng,1
151,Leo Tolstoy-Richard Pevear-Larissa Volokhonsky,4.04,eng,1795
152,Leo Tolstoy-David Magarshack-Priscilla Meyer,4.04,eng,5694
153,Leo Tolstoy-Richard Pevear-Larissa Volokhonsky-John Bayley,4.04,eng,300
154,Marianne Sturman-Leo Tolstoy,3.89,eng,3
155,Leo Tolstoy-Amy Mandelker-Constance Garnett,4.04,eng,710
156,Leo Tolstoy-Louise Maude-Aylmer Maude,4.04,eng,71
157,Leo Tolstoy-Constance Garnett-Amy Mandelker,4.04,eng,47
159,Gloria Goldreich,2.96,eng,64
160,Anthony Thorlby,4.19,eng,32
162,Mulk Raj Anand-E.M. Forster,3.7,eng,250
163,John Banville,3.96,eng,209
164,Eliot Ness-Oscar Fraley,3.89,eng,29
165,Narendra Jadhav,3.82,en-US,39
166,V.T. Rajshekar-Y.N. Kly,4.33,eng,0
168,Vasant Moon-Gail Omvedt-Eleanor Zelliot,3.58,eng,4
171,Barry R. Cournoyer,3.4,eng,0
177,John Carratello-Patty Carratello-Theresa Wright,3.94,eng,0
180,George Smoot-Keay Davidson,3.99,en-US,23
181,Madeleine L'Engle,4.01,eng,7
182,Tara MacCarthy,3.57,eng,0
201,Madeleine L'Engle,4.01,spa,1
204,Cynthia Harrod-Eagles,4.11,eng,16
205,Charles Todd,4.11,eng,222
207,Ewan McGregor-Charley Boorman-Robert Uhlig,3.94,en-US,45
208,Daniel Abraham,3.6,eng,604
213,Charles Willeford-James Lee Burke,3.91,eng,72
214,Charles Willeford-Lawrence Block,4.04,eng,68
216,Charles Willeford-Elmore Leonard,3.94,eng,158
231,Tom Wolfe,3.41,eng,1686
237,Edward Lear-Laura Huliska-Beith-Edward Mendelson,3.9,eng,18
244,Quentin Blake,4.04,eng,6
245,Henry Miller-Thomas H. Moore,4.23,eng,50
247,Henry Miller,3.69,eng,134
249,Henry Miller-Jiří Níl,3.69,eng,2290
250,Henry Miller,3.82,eng,448
251,Henry Miller,4.09,eng,53
252,Henry Miller,4.04,eng,248
253,Henry Miller,3.83,eng,142
264,Henry James-Patricia Crick,3.77,eng,1854
269,Henry James-Gabriel Brownstein-Mary Cregan,3.77,eng,40
275,Marguerite Duras-Barbara Bray-Maxine Hong Kingston,3.75,eng,1363
278,Marguerite Duras-Barbara Bray-قلسم روبین,3.85,eng,62
280,Marguerite Duras-Richard Seever,3.67,en-US,122
